Country/Region,Total_confirmed_cases
Afghanistan,129988469
Albania,185562654
Algeria,182741650
Andorra,24547525
Angola,60025203
Antarctica,4961
Antigua and Barbuda,4310255
Argentina,5625482921
Armenia,285491323
Australia,3508864881
Austria,2210457634
Azerbaijan,493546661
Bahamas,21502145
Bahrain,357306683
Bangladesh,1309367681
Barbados,39648490
Belarus,593651097
Belgium,2280497649
Belize,34174927
Benin,16903440
Bhutan,22329795
Bolivia,605712604
Bosnia and Herzegovina,247573190
Botswana,171155988
Brazil,21182690594
Brunei,80268412
Bulgaria,683611436
Burkina Faso,14552323
Burma,374668250
Burundi,23149109
Cabo Verde,37537089
Cambodia,79416169
Cameroon,83367548
Canada,2261682315
Central African Republic,10342778
Chad,5205330
Chile,2352869754
China,1160807092
Colombia,4214829115
Comoros,5129203
Congo (Brazzaville),16149296
Congo (Kinshasa),56799866
Costa Rica,577119257
Cote d'Ivoire,58041099
Croatia,647706645
Cuba,626193537
Cyprus,253807006
Czechia,2439147631
Denmark,1461653212
Diamond Princess,796020
Djibouti,11829935
Dominica,6627068
Dominican Republic,399963958
Ecuador,584150381
Egypt,334600873
El Salvador,113567058
Equatorial Guinea,11448174
Eritrea,6235402
Estonia,291006254
Eswatini,42980649
Ethiopia,321253355
Fiji,36794437
Finland,529055121
France,16105911886
Gabon,31568025
Gambia,8425604
Georgia,898731351
Germany,13686043720
Ghana,117781853
Greece,1964682966
Grenada,8143276
Guatemala,578700431
Guinea,27081703
Guinea-Bissau,5789358
Guyana,37410507
Haiti,22170826
Holy See,26807
Honduras,302670683
Hungary,1142912051
Iceland,82359288
India,29131119694
Indonesia,3692406698
Iran,4612422449
Iraq,1609076462
Ireland,801077962
Israel,2221969354
Italy,10083161678
Jamaica,82599171
Japan,7338211631
Jordan,991230386
Kazakhstan,864952333
Kenya,221315836
Kiribati,1396540
"Korea, North",300
"Korea, South",8467888968
Kosovo,152691820
Kuwait,413219780
Kyrgyzstan,146035075
Laos,92246655
Latvia,412014336
Lebanon,695765599
Lesotho,19994674
Liberia,5024859
Libya,308848756
Liechtenstein,8971160
Lithuania,608270188
Luxembourg,141673313
MS Zaandam,9665
Madagascar,44143489
Malawi,54666386
Malaysia,2374175078
Maldives,99525516
Mali,19265306
Malta,55970183
Marshall Islands,3135141
Mauritania,37307802
Mauritius,104989937
Mexico,3944108014
Micronesia,4073178
Moldova,342675759
Monaco,6720550
Mongolia,487716693
Montenegro,153358754
Morocco,802955610
Mozambique,136885472
Namibia,104777930
Nauru,1184912
Nepal,653536904
Netherlands,4109863466
New Zealand,589783509
Nicaragua,10111277
Niger,6313963
Nigeria,188300124
North Macedonia,202398382
Norway,646890941
Oman,273461449
Pakistan,1079772495
Palau,2074263
Panama,558467809
Papua New Guinea,24996001
Paraguay,434528549
Peru,2499413018
Philippines,2281636877
Poland,3643680024
Portugal,2405740042
Qatar,282392958
Romania,1760871192
Russia,10578569842
Rwanda,77702485
Saint Kitts and Nevis,2981130
Saint Lucia,13983991
Saint Vincent and the Grenadines,4860875
Samoa,4965233
San Marino,10185486
Sao Tome and Principe,3753278
Saudi Arabia,576241072
Senegal,59667120
Serbia,1229634680
Seychelles,24270209
Sierra Leone,5661556
Singapore,723549534
Slovakia,1354411039
Slovenia,571300536
Solomon Islands,7770208
Somalia,17864013
South Africa,2613099489
South Sudan,11968118
Spain,7071275148
Sri Lanka,394357499
Sudan,42936981
Summer Olympics 2020,498688
Suriname,44282284
Sweden,1471014062
Switzerland,1912980451
Syria,35209217
Taiwan*,1966380260
Tajikistan,15269261
Tanzania,19173667
Thailand,2095658184
Timor-Leste,13419221
Togo,22732219
Tonga,4975228
Trinidad and Tobago,83638566
Tunisia,644407283
Turkey,8840742699
Tuvalu,322901
US,53813184406
Uganda,103587926
Ukraine,3190613850
United Arab Emirates,653554125
United Kingdom,12118271679
Uruguay,498924080
Uzbekistan,160141741
Vanuatu,3782631
Venezuela,341179029
Vietnam,4314591370
West Bank and Gaza,412543696
Winter Olympics 2022,214462
Yemen,7879435
Zambia,195953683
Zimbabwe,140385286
