Country/Region,Total_deaths
Afghanistan,10842870
Albania,4970760
Algeria,9802550
Andorra,254380
Angola,2463668
Antarctica,0
Antigua and Barbuda,160582
Argentina,182074290
Armenia,11410786
Australia,11181664
Austria,27464936
Azerbaijan,12511324
Bahamas,992706
Bahrain,2133750
Bangladesh,40195282
Barbados,468172
Belarus,8708174
Belgium,51413812
Belize,880250
Benin,237826
Bhutan,16428
Bolivia,32789498
Bosnia and Herzegovina,20693152
Botswana,3342430
Brazil,976362000
Brunei,196544
Bulgaria,45784220
Burkina Faso,492612
Burma,23879742
Burundi,47262
Cabo Verde,564260
Cambodia,3489356
Cameroon,2718128
Canada,60524818
Central African Republic,185316
Chad,325126
Chile,76382710
China,27093324
Colombia,201343274
Comoros,241762
Congo (Brazzaville),503168
Congo (Kinshasa),1980248
Costa Rica,11250122
Cote d'Ivoire,1036828
Croatia,20127930
Cuba,9884642
Cyprus,1245616
Czechia,56516174
Denmark,7855798
Diamond Princess,28378
Djibouti,287852
Dominica,64832
Dominican Republic,7209338
Ecuador,52883592
Egypt,34497882
El Salvador,5794830
Equatorial Guinea,279724
Eritrea,108312
Estonia,3135032
Eswatini,1879782
Ethiopia,10071038
Fiji,933028
Finland,5551432
France,226820714
Gabon,404200
Gambia,518616
Georgia,19230684
Germany,192117600
Ghana,1988858
Greece,35797116
Grenada,237416
Guatemala,24775594
Guinea,579630
Guinea-Bissau,228514
Guyana,1496072
Haiti,1143756
Holy See,0
Honduras,15473906
Hungary,60387390
Iceland,170756
India,729842474
Indonesia,200671400
Iran,201270118
Iraq,38285834
Ireland,10965392
Israel,15116036
Italy,255873568
Jamaica,3676012
Japan,44743596
Jordan,18910294
Kazakhstan,24307816
Kenya,7854010
Kiribati,10580
"Korea, North",3600
"Korea, South",22441780
Kosovo,4646250
Kuwait,3848620
Kyrgyzstan,4493950
Laos,646960
Latvia,6879848
Lebanon,14334972
Lesotho,909832
Liberia,409102
Libya,8341420
Liechtenstein,117516
Lithuania,11240472
Luxembourg,1606558
MS Zaandam,4292
Madagascar,1808170
Malawi,3466456
Malaysia,39433436
Maldives,393150
Mali,1054562
Malta,954508
Marshall Islands,6926
Mauritania,1348942
Mauritius,941976
Mexico,482170378
Micronesia,21046
Moldova,15087130
Monaco,74514
Mongolia,2334030
Montenegro,3616162
Morocco,22975114
Mozambique,2821796
Namibia,4957142
Nauru,502
Nepal,16043286
Netherlands,36380778
New Zealand,1238314
Nicaragua,401686
Niger,446474
Nigeria,4804242
North Macedonia,12327072
Norway,3750968
Oman,6370910
Pakistan,44577728
Palau,5296
Panama,12859732
Papua New Guinea,710930
Paraguay,24640262
Peru,341499698
Philippines,74724554
Poland,151602988
Portugal,33939804
Qatar,1026304
Romania,83873014
Russia,441967180
Rwanda,1791932
Saint Kitts and Nevis,43044
Saint Lucia,418234
Saint Vincent and the Grenadines,113712
Samoa,18284
San Marino,187272
Sao Tome and Principe,99344
Saudi Arabia,15384788
Senegal,2779958
Serbia,19822258
Seychelles,190740
Sierra Leone,212562
Singapore,1382446
Slovakia,25524984
Slovenia,9174264
Solomon Islands,114476
Somalia,1795436
South Africa,142062088
South Sudan,222308
Spain,169148402
Sri Lanka,18525534
Sudan,6361832
Summer Olympics 2020,0
Suriname,1615784
Sweden,30118292
Switzerland,21072554
Syria,4125402
Taiwan*,7347550
Tajikistan,218182
Tanzania,874980
Thailand,31317106
Timor-Leste,149388
Togo,373000
Tonga,8280
Trinidad and Tobago,4160426
Tunisia,37196808
Turkey,125617428
Tuvalu,0
US,1427754430
Uganda,4380970
Ukraine,141441202
United Arab Emirates,3453424
United Kingdom,321673354
Uruguay,9274742
Uzbekistan,2225250
Vanuatu,9878
Venezuela,7460094
Vietnam,42420712
West Bank and Gaza,7509418
Winter Olympics 2022,0
Yemen,3030892
Zambia,5263444
Zimbabwe,6921434
