Country/Region,Total_confirmed_cases,Total_deaths,Recovered_covid,Recovered_percentage,Death_percentage
Afghanistan,129988469,10842870,119145599,91.65859088624238,8.34140911375762
Albania,185562654,4970760,180591894,97.32124978121945,2.6787502187805527
Algeria,182741650,9802550,172939100,94.63584245846526,5.36415754153473
Andorra,24547525,254380,24293145,98.9637244487988,1.0362755512011903
Angola,60025203,2463668,57561535,95.89561071538567,4.1043892846143315
Antarctica,4961,0,4961,100.0,0.0
Antigua and Barbuda,4310255,160582,4149673,96.27441995891193,3.7255800410880564
Argentina,5625482921,182074290,5443408631,96.76340160379273,3.236598396207272
Armenia,285491323,11410786,274080537,96.00310584570725,3.9968941542927383
Australia,3508864881,11181664,3497683217,99.68133101788709,0.318668982112908
Austria,2210457634,27464936,2182992698,98.75750000463479,1.2424999953652132
Azerbaijan,493546661,12511324,481035337,97.46501699056171,2.534983009438291
Bahamas,21502145,992706,20509439,95.38322339468922,4.616776605310773
Bahrain,357306683,2133750,355172933,99.40282393206734,0.5971760679326561
Bangladesh,1309367681,40195282,1269172399,96.93017610078005,3.069823899219947
Barbados,39648490,468172,39180318,98.81919336650652,1.1808066334934824
Belarus,593651097,8708174,584942923,98.53311582442844,1.4668841755715647
Belgium,2280497649,51413812,2229083837,97.7455003287311,2.2544996712689
Belize,34174927,880250,33294677,97.42428125742595,2.5757187425740513
Benin,16903440,237826,16665614,98.59303195089284,1.4069680491071639
Bhutan,22329795,16428,22313367,99.92643013516246,0.07356986483754105
Bolivia,605712604,32789498,572923106,94.5866244513545,5.413375548645509
Bosnia and Herzegovina,247573190,20693152,226880038,91.64160222680007,8.358397773199917
Botswana,171155988,3342430,167813558,98.04714398890911,1.9528560110908886
Brazil,21182690594,976362000,20206328594,95.39075550545711,4.609244494542892
Brunei,80268412,196544,80071868,99.75514153687256,0.24485846312743798
Bulgaria,683611436,45784220,637827216,93.30259595013563,6.697404049864374
Burkina Faso,14552323,492612,14059711,96.61489096964107,3.3851090303589326
Burma,374668250,23879742,350788508,93.62643031535231,6.373569684647686
Burundi,23149109,47262,23101847,99.7958366345763,0.20416336542369729
Cabo Verde,37537089,564260,36972829,98.49679339812418,1.5032066018758141
Cambodia,79416169,3489356,75926813,95.6062398325963,4.393760167403693
Cameroon,83367548,2718128,80649420,96.73958504812929,3.260414951870721
Canada,2261682315,60524818,2201157497,97.32390276041045,2.6760972395895486
Central African Republic,10342778,185316,10157462,98.20825700793347,1.7917429920665413
Chad,5205330,325126,4880204,93.75397909450506,6.2460209054949445
Chile,2352869754,76382710,2276487044,96.75363628309024,3.2463637169097628
China,1160807092,27093324,1133713768,97.66599255063821,2.334007449361793
Colombia,4214829115,201343274,4013485841,95.22297895106952,4.777021048930473
Comoros,5129203,241762,4887441,95.28655816507946,4.713441834920553
Congo (Brazzaville),16149296,503168,15646128,96.88427285003631,3.1157271499636887
Congo (Kinshasa),56799866,1980248,54819618,96.51363966245977,3.4863603375402326
Costa Rica,577119257,11250122,565869135,98.05064172377807,1.9493582762219284
Cote d'Ivoire,58041099,1036828,57004271,98.21363134423075,1.7863686557692506
